Amplitude,PtP_mean,PtP_std,S1_mean,S1_std,S2_mean,S2_std,S3_mean,S3_std,S1_vals_mean,S1_vals_std,S2_vals_mean,S2_vals_std,S3_vals_mean,S3_vals_std
0.0,0.10002521140681774,0.16198438711306376,0.003300221761067706,0.005291752780020968,0.0008287048339843728,0.0012024758292357302,0.001532704671223963,0.0015979520615655998,-0.11394856323798498,0.029870564562186157,-0.9471586947639783,0.003416526085180663,0.2987476880351702,0.0036459702590779697
0.5,0.0909477514848336,0.059789617871298474,0.0030065917968749986,0.0019793595070544253,0.0006262715657552024,0.0002635524866037213,0.001196472167968754,0.00033755136742104634,-0.1141768420735995,0.029867780802213775,-0.947148888806502,0.003469195700693584,0.2986934036016464,0.0034493990659387624
1.0,0.13964254386888275,0.056687646358839855,0.004613728841145832,0.0018834940782267672,0.0008175150553385357,0.00024141456826462485,0.0014610188802083386,0.0005009532024083799,-0.1140791321794192,0.029950690398031915,-0.9470985208948454,0.0035432992328700208,0.2988825008273125,0.00330950080040007
1.5,0.14188864356269118,0.034601372575086504,0.0046826680501302065,0.0011333961657142805,0.0009173278808593643,0.00026514042745751115,0.0014487508138020873,0.0004400723293458634,-0.11421197205781937,0.029869639426328705,-0.9470808108647665,0.0035156597866716458,0.2988962744673093,0.0033123507415925325
2.0,0.1728004215969288,0.044427516045568584,0.005700754801432289,0.0014764772645447625,0.001067881266276031,0.0002326491268486665,0.001578125000000008,0.00045487178850827026,-0.11420640945434571,0.029998574333993472,-0.9470730890830358,0.0034807202663140594,0.2989086627960205,0.003369740296219132
2.5,0.20860148433979783,0.0438224841115029,0.00687281290690104,0.0014579668963026157,0.0012360839843749952,0.00023067353735448088,0.0016797892252604233,0.00020635635406590354,-0.11422478059927622,0.030005858216208464,-0.9470922082662583,0.0034178737340458793,0.29883504410584766,0.003529174294041997
3.0,0.23301940722225514,0.03488252305723549,0.007677520751953122,0.001160392275770565,0.0013882548014322834,0.00030065805301858787,0.0019092102050781324,0.000564863528469921,-0.11426588445901871,0.02993055718611188,-0.9470675791303317,0.003406207659475391,0.29890588770310084,0.0034854374496013697
3.5,0.2572617563650873,0.03366066968716898,0.008472534179687496,0.0011070495564919737,0.001535217285156243,0.0003048376789202134,0.002051686604817717,0.0004505277061902858,-0.11412908186515172,0.030067827400912423,-0.9471002727746963,0.00338305465975315,0.2988363703091939,0.0035421857297736744
4.0,0.2946537477364503,0.032125990167758106,0.009707295735677081,0.0010625392136786118,0.0017289733886718692,0.00032723960507648436,0.0022168986002604235,0.0003564131938566929,-0.11514175087213516,0.02997034568674794,-0.9470089405775071,0.0033606322375647596,0.29874381273984907,0.0034682295939949524
4.5,0.32184594840526015,0.02815433149820949,0.01060295613606771,0.0009153351465310534,0.0018922729492187429,0.0004207688417528092,0.0024308776855468785,0.0005656215491000806,-0.11546849807103475,0.030121599746192173,-0.9470013409852982,0.003352166986196677,0.29862279643615086,0.0034646428156585845
5.0,0.3855693073904777,0.19938688223460044,0.012693959554036453,0.006566202227132321,0.0022508239746093692,0.0010054972183376155,0.003024658203125008,0.0023742372190860292,-0.11539843032757441,0.030091068824333236,-0.947005886832873,0.0033552242604101288,0.2986283540725708,0.003484293592279314
5.5,0.38599864920106197,0.04462300734100613,0.012699401855468744,0.001461838391336808,0.002227427164713536,0.00045265844926883973,0.00260548909505209,0.00019766445779491153,-0.1153396745522817,0.030144965821687828,-0.9469562083482742,0.003350415395685645,0.2988028069337209,0.0035841236625170077
6.0,0.41231305280758856,0.02369841047312663,0.013568847656249997,0.0007390228470870275,0.0023699645996093643,0.0004785885291453594,0.0027737528483072946,0.00018203514902862854,-0.1153516282637914,0.02996353545024848,-0.9469001154104869,0.003299039331365452,0.29898916085561117,0.0037606215026492976
6.5,0.44375715070108207,0.03768136615180535,0.014600941975911448,0.0012012217066369052,0.00255504353841145,0.00054551954253004,0.002941365559895842,0.00026001520922260354,-0.11542250066995621,0.03000970604481844,-0.9469358454147975,0.003313858738302857,0.29883707215388616,0.003639998200632147
7.0,0.49155965224482023,0.06684651444490815,0.01617703247070312,0.002163280665370699,0.002828145345052076,0.0007535216413365061,0.0032642517089843835,0.0005275174499471248,-0.11579751422007879,0.030434064514497566,-0.9468551869193713,0.0034062229504108594,0.2988960256179174,0.0036557127443140043
7.5,0.5359398982069282,0.12090905678760885,0.01764528401692707,0.0039939855173405205,0.003059122721354157,0.0008399758483931623,0.0036839599609375107,0.0011544164497762958,-0.1157407467563947,0.030457133695904057,-0.9469048211971919,0.0034212230624641694,0.2987537682056427,0.0034604865466318726
8.0,0.5429964132677723,0.04522279762405162,0.017866923014322918,0.0014328896617993045,0.0031653340657552026,0.0007461490730564503,0.003659484863281259,0.0006850494172072351,-0.11593426714340846,0.030591201844979675,-0.9468585441509882,0.003403546586695397,0.2988034357627233,0.0036777915752826064
8.5,0.583058407489166,0.05354464700064438,0.019180145263671865,0.0017362475102043486,0.0033205566406249907,0.0007225636534606669,0.003670196533203135,0.00022032129896350298,-0.11597120662530264,0.03065141477687819,-0.9468497440218926,0.003433940091364197,0.29880138834317527,0.0035995657901130218
9.0,0.6214687322376446,0.05328640428891582,0.02045445760091146,0.001685066365875306,0.00358958943684895,0.0008664673955768,0.004226633707682298,0.0008102841088577997,-0.11584874391555786,0.030540185922169408,-0.9467777142922084,0.0035406742131812398,0.29908150682846707,0.003262567413143799
9.5,0.6532745880502551,0.07019952766063461,0.02149073282877604,0.0022504371127455153,0.0037396036783854097,0.000909412204517375,0.004140106201171884,0.0006260945905144794,-0.11593494464953741,0.030699557384877747,-0.9468244562546412,0.0034647184766761247,0.29887218326330184,0.0034836118690653724
